ID,length,imagepath-length,width,imagepath-width,label,L-length,T-length,A-length,E-length,L-width,T-width,A-width,E-width,weight-day1,weight-day2,round
2152,60.563,200624_054838_0000000095_CAM2_OK.bmp,45.598,200624_054844_0000000096_CAM2_OK.bmp,M,1.015570174,0.775148505,0.015570174,0.290075377,1.026935638,0.777662567,0.026935638,0.285904765,63.952,63.61,3
2153,65.787,200624_054904_0000000097_CAM2_OK.bmp,48.571,200624_054909_0000000098_CAM2_OK.bmp,M,1.103201167,0.727847157,0.103201167,0.373914825,1.090641635,0.732934925,0.090641635,0.364377608,51.396,50.887,3
2154,64.516,200624_054935_0000000099_CAM2_OK.bmp,48.587,200624_054940_0000000100_CAM2_OK.bmp,NR,1.044967158,0.749405207,0.044967158,0.334391582,1.043524827,0.752593102,0.043524827,0.328739258,57.607,57.256,3
2155,63.358,200624_055007_0000000101_CAM2_OK.bmp,47.987,200624_055011_0000000102_CAM2_OK.bmp,F,1.114811886,0.750864216,0.114811886,0.331798717,1.113973022,0.754661178,0.113973022,0.325097976,56.853,56.451,3
2156,62.321,200624_055032_0000000103_CAM2_OK.bmp,46.846,200624_055036_0000000104_CAM2_OK.bmp,F,1.043798325,0.769582488,0.043798325,0.299405867,1.062038285,0.771932896,0.062038285,0.295449391,58.792,58.391,3
2161,65.855,200624_055117_0000000105_CAM2_OK.bmp,48.533,200624_055122_0000000106_CAM2_OK.bmp,M,1.036871308,0.752072089,0.036871308,0.329659769,1.039519096,0.757575281,0.039519096,0.32000083,63.412,63.003,3
2162,62.665,200624_055207_0000000107_CAM2_OK.bmp,47.469,200624_055211_0000000108_CAM2_OK.bmp,M,1.076156842,0.750524544,0.076156842,0.332401463,1.082372274,0.75428734,0.082372274,0.325754718,59.692,59.289,3
2163,65.1,200624_055238_0000000109_CAM2_OK.bmp,49.587,200624_055243_0000000110_CAM2_OK.bmp,F,1.039208569,0.758961649,0.039208569,0.317589632,1.037294027,0.762756162,0.037294027,0.311034967,57.058,56.639,3
2164,61.045,200624_055329_0000000111_CAM2_OK.bmp,48.615,200624_055334_0000000112_CAM2_OK.bmp,F,1.051873786,0.786395852,0.051873786,0.271624205,1.041216583,0.793203847,0.041216583,0.260709972,57.337,56.927,3
2165,60.326,200624_055404_0000000113_CAM2_OK.bmp,46.056,200624_055408_0000000114_CAM2_OK.bmp,M,1.076880296,0.770710036,0.076880296,0.297504837,1.088856656,0.77408701,0.088856656,0.29184444,57.192,56.87,3
2166,62.288,200624_055441_0000000115_CAM2_OK.bmp,47.983,200624_055446_0000000116_CAM2_OK.bmp,F,1.1001096,0.747275689,0.1001096,0.33819421,1.092756762,0.75381582,0.092756762,0.326583992,59.291,58.889,3
2211,63.926,200624_055521_0000000117_CAM2_OK.bmp,47.797,200624_055526_0000000118_CAM2_OK.bmp,F,1.099414419,0.738143711,0.099414419,0.35474974,1.092571336,0.74189224,0.092571336,0.347904649,52.67,52.247,3
2212,66.663,200624_055553_0000000119_CAM2_OK.bmp,49.068,200624_055558_0000000120_CAM2_OK.bmp,M,1.08702279,0.729044643,0.08702279,0.371658114,1.068518288,0.732914328,0.068518288,0.364415952,58.682,58.33,3
2213,64.721,200624_055632_0000000121_CAM2_OK.bmp,49.971,200624_055638_0000000122_CAM2_OK.bmp,M,1.04934174,0.764819525,0.04934174,0.307498001,1.012012292,0.771476234,0.012012292,0.29621621,56.419,56.055,3
